اسد,Asad
إرنست,Ernest
يوجين,Eugene
إفيريت,Everett
فيلِكس,Felix
فرناندو,Fernando
فلويد,Floyd
فرانسيس,Francis
فرانسيسكو,Francisco
فرانك,Frank
فرانكلن,Franklin
فريد,Fred
فريدي,Freddie
فريدرِك,Frederick
غابرييل,Gabriel
غاري,Gary
جين,Gene
جيورج,George
جارلد,Gerald
غيلبرت,Gilbert
غلين,Glen
غلين,Glenn
غوردون,Gordon
غريغ,Greg
غريغوري,Gregory
غاي,Guy
هارولد,Harold
هاري,Harry
هارفي,Harvey
هيكتور,Hector
هينري,Henry
هربرت,Herbert
هرمان,Herman
هاورد,Howard
هيو,Hugh
إين,Ian
ايساك,Isaac
ايفن,Ivan
جاك,Jack
جايكب,Jacob
جايمي,Jaime
جايمس,James
جايمي,Jamie
جاريد,Jared
جايسون,Jason
هافيير,Javier
جاي,Jay
جيف,Jeff
جيفري,Jeffery
جيفري,Jeffrey
جاريمي,Jeremy
جيروم,Jerome
جاري,Jerry
جيسي,Jesse
جيسي,Jessie
جيزس,Jesus
جيم,Jim
جيمي,Jimmie
جيمي,Jimmy
جو,Joe
جول,Joel
جون,John
جوني,Johnnie
جوني,Johnny
جون,Jon
جوناثن,Jonathan
جوردن,Jordan
جورج,Jorge
هوساي,Jose
جوسيف,Joseph
جاشوا,Joshua
وان,Juan
جوليان,Julian
هوليو,Julio
جستن,Justin
كارل,Karl
كيث,Keith
كالي,Kelly
كين,Ken
كينيث,Kenneth
كينت,Kent
كيفن,Kevin
كيرك,Kirk
كورت,Kurt
كايل,Kyle
لانس,Lance
لاري,Larry
لاورنس,Lawrence
لي,Lee
ليو,Leo
ليون,Leon
ليونارد,Leonard
ليروي,Leroy
ليسلي,Leslie
ليستر,Lester
لويس,Lewis
لويد,Lloyd
لوني,Lonnie
لويس,Louis
لويس,Luis
مانيويل,Manuel
مارك,Marc
ماركوس,Marcus
ماريو,Mario
ماريون,Marion
مارك,Mark
مارشل,Marshall
مارتن,Martin
مارفن,Marvin
ماثيو,Matthew
موريس,Maurice
ماكس,Max
ميلفين,Melvin
مايكل,Michael
مايكل,Micheal
ميغيل,Miguel
مايك,Mike
ميلتون,Milton
ميتشل,Mitchell
موريس,Morris
نايثان,Nathan
ناثانيال,Nathaniel
نيل,Neil
نيلسون,Nelson
نيكولاس,Nicholas
نورمان,Norman
اسكر,Oscar
باتريك,Patrick
بول,Paul
بايدرو,Pedro
بيري,Perry
بيتر,Peter
فيليب,Philip
فيليب,Phillip
رافييل,Rafael
رالف,Ralph
رامون,Ramon
راندل,Randall
راندي,Randy
راوول,Raul
راي,Ray
رايموند,Raymond
ريجينولد,Reginald
ريناي,Rene
ريكاردو,Ricardo
ريتشارد,Richard
ريك,Rick
ريكي,Ricky
روبرت,Robert
روبيرتو,Roberto
رودني,Rodney
روجر,Roger
رولاند,Roland
رون,Ron
رونالد,Ronald
روني,Ronnie
روس,Ross
روي,Roy
روبن,Ruben
روسيل,Russell
راين,Ryan
سالفادور,Salvador
سام,Sam
ساميول,Samuel
سكوت,Scott
شون,Sean
سيرجيو,Sergio
سيث,Seth
شاين,Shane
شون,Shawn
سيدني,Sidney
ستانلي,Stanley
ستيفن,Stephen
ستيف,Steve
ستيفن,Steven
تيد,Ted
تارنس,Terrance
تارنس,Terrence
تاري,Terry
ثيودور,Theodore
توماس,Thomas
تيم,Tim
تيموثي,Timothy
تود,Todd
توم,Tom
تومي,Tommy
توني,Tony
ترايسي,Tracy
ترافس,Travis
تروي,Troy
تيلر,Tyler
تيرون,Tyrone
فيرنون,Vernon
فيكتور,Victor
فينسينت,Vincent
فيرجل,Virgil
وايد,Wade
والس,Wallace
والتر,Walter
وارن,Warren
واين,Wayne
ويسلي,Wesley
ويلرد,Willard
ويليام,William
ويلي,Willie
زاكري,Zachary
آدم             ,Adam 
آصف             ,Assef
آيت عبد النور   ,Ait abd elnour
أبان            ,Aban 
أبسل            ,Absal           
أبلج            ,Ablag
أبو بكر         ,Abu Bakr
أبو حمزة       , Abu Hamza
حمزة        ,    Hamza
أجاويد       ,   Agawid
أجيد       ,     Agid
أحدب        ,    Ahdab
أحنف        ,    Ahnaf
أحوس        ,    Ahwas
خضر         ,    khedr
أدهم        ,    Adham
أديب        ,    odeeb
أرقم        ,    Arkam
أزور        ,    Ozour
أسامة        ,   Ossama
أسعد        ,    Asaad
أسلم        ,    Aslam
أشرف        ,    Ashraf
أصيل       ,     Assel
أكرم       ,     Akram
أكسم       ,     Aksam
أكليل       ,    Akleel
أكمل       ,     Akmal
أكنان      ,     Aknan
ألوف       ,     Alouf
أمار       ,     Ammar
أمام      ,      Emam
أمان      ,      Aman 
أمان الله       ,Aman Allah
أمجاد       ,    Amgaad
أمجد       ,     Amgad
أمد       ,      Amad
أمدد       ,     Amdad
أمرزي      ,     Amrazy
أمنان     ,      Amnan
أموري      ,     Amoury
أموني      ,     Amouny
أمية      ,      Ameya
أمير     ,       Amir
أميراي     ,     Amirai
أميري      ,     Ameery
أميل      ,      Ameel
أمين     ,       Amin
أنار     ,       Anar
أنارات     ,     Anarat
أنس      ,       Anas
أنستاس      ,    Anastas
أنصاري     ,     Ansary
أنعم      ,      Anaam
أنمار     ,      Anmar
أنور      ,      Anwar
أنوس      ,      Anwas
أنوش       ,     Anoush
أنوف      ,      Anwaf
نواف      ,      Nawaf
ابو نواف      ,  Abu Nawaf
أنيق      ,      Aneek
أهيف      ,      Ahyaf
أواد     ,       Awad
واثل     ,       Wael
أيوب      ,      Ayoub
أويس      ,      Owees
أياس     ,       Ayas
أيامن      ,     Ayamen
أيمن      ,      Ayman
أيتن      ,      Ayten
أيد      ,       Ayed
إياد     ,       Ayed
أيسر      ,      Aysar
أيهم      ,      Ayham
إجلال      ,      Eglal
إحسان     ,      Ehsan
إخلاص       ,     Ekhlas
إدريس      ,     Edrees
إسحاق     ,      Eshak
إسعاد     ,      Esaad
إسكندر       ,   Eskandar
إصلاح      ,      Eslah
إلياس     ,      Elyas
هلال       ,      Helal
حبيب       ,     Habeeb
حجاح      ,      Hagag
العابدين     ,   Elabdeen
عابدين     ,     Abdeen  
عابد     ,       Abed
المانسي     ,    ElMansi
مانسي     ,      Mansi
بادي     ,       Badi
بدوي       ,     Badawi
الرفاعي     ,    Elrifai
الرفاعى     ,    Elrifai
رفاعي     ,      Rifai
رفعت       ,     Refaat
بارع      ,      Baree
برعى     ,       Bori
برعي     ,       Bori
باز     ,        Baz
عبد الباسط        ,Abd Elbaset
باهر      ,      Baher
بحيري       ,    Beheiry
بحيرى       ,    Beheiry
البحيري         ,  ElBeheiry
البحيرى         ,  ELBeheiry
بحري       ,     Bahari
بدار      ,      Badar
بدير       ,     Bedeer
عواد     ,       Awad
برهان       ,    Bourhan
بسطام       ,    Boustam
بسيل       ,     Baseel
بسيم       ,     Baseem
بشير       ,     Beshir
بشارة       ,    Beshara
بشر       ,      Beshr
بشري        ,    Boushra       
بطاح       ,     Battah
بطرس       ,     Botrus
بكار      ,      Bakar
بكر      ,       Bakr
بكري      ,      Bakry
بكور       ,     Bokour
بلال       ,      Belal
بليغ       ,     Baligh
بندر       ,     Bandar
بهاء      ,      Bahaa
بهجة      ,      Bahga
بهجت       ,     Bahgat
بهلول       ,    Bahloul
بهيج       ,     Baheeg
بهيس       ,     Bahees
بيان      ,      Bayan
تركي       ,     Turkey
تقي      ,       Toka                                
تليد      ,      Talid
تمام      ,      Tamam
تميم      ,      Tamim
تهامي      ,     Tohami
تواب            ,Abd Eltawab
توفيق      ,     Tawfik
تيسير      ,     Taysir
تيم     ,        Tim
ثائب       ,     Thaaeb
ثائر       ,     Thaaer
ثراء       ,     Tharaa
ثروان       ,    Tharwan
ثروت        ,    Tharwat
ثنيان       ,    Thanyan
جابر      ,      Gaber
جاسم      ,      Gasem
جبر      ,       Gabr
جبران      ,     Gabran
حمدان      ,     Hamdan
وهدان      ,     Wahdan
جدن      ,       Gadn
غدير        ,    Ghadeer
جعفر        ,    Ghaafar
جلال       ,      Galal
جلوان      ,     Galwan
ريوان     ,      Rewan
جليل      ,      Galil
جمعان      ,     Gamaan
جمعة      ,      Gomaa
جميل       ,     Gameel
جهاد      ,      Gehad
جهدان      ,     Gahdan
جواد      ,      Gawad
جودة      ,      Gouda
جودت       ,     Gawdat
جياش       ,     Gayash
حاتم      ,      Hatem
حادر      ,      Hader
حازم      ,      Hazem
حافظ      ,      Hafez
حجاب      ,      Hegab
حجاج      ,      Hagag
حجر      ,       Hagr
حر       ,       Hour
حزم      ,       Hazm
حسان        ,    Hassaan
حسن        ,     Hassan
حسنى      ,      Hosni
حسنين        ,   Hasaneen
حسون        ,    Hassoon
حسين        ,    Hussein
حسيني        ,   Husseiny
حسينى        ,   Husseiny  
الحسيني         ,El Husseiny
الحسينى         ,El Husseiny 
حصيف        ,    Houseif
حفص      ,       Hafs
حفصه      ,      Hafsa
حفصة      ,      Hafsa
حفظي      ,      Hafzi 
حربي      ,      Harbi
حربى      ,      Harbi
حكيم      ,      Hakim
حماد       ,     Hammad
حمود       ,     Hamood
حمودة       ,    Hamooda
حموده       ,    Hamooda
حمدان      ,     Hamdan
حمدون       ,    Hamdoon
حمزة      ,      Hamza
حنبل       ,     Hanbal
حنظلة       ,    Hanzala
حنيشل        ,   Haneshal
حواس      ,      Hawas
حيدر      ,      Hedar
خزاعي      ,     Khozai
خطاب       ,     Khatab
خلدون        ,   Khaldoon
خلف        ,     Khalaf
خليفة       ,    Khalifa
خليل       ,     Khalil
خميس       ,     Khamis
خويلد         ,  Khowayled
آبو خير         ,Abu Elkheir
دانا     ,       Dana
داني     ,       Dani
داود       ,     Dawoud
دراج      ,      Darag
درغام       ,    Dergham
دريد      ,      Darid
دعاس     ,       Daas
دعبس       ,     Deabes
دهيم      ,      Damim
ذاكر      ,      Zaker
سفيان      ,     Sofyan
ذكوان      ,     Zakwan
ذكي      ,       Zaki
ذياد     ,       Ziad
رأفت       ,     Rafaat
رئيف     ,       Raif
رؤف       ,      Raouf
رائف     ,       Raef
رائد      ,      Raeed
رائض      ,      Raeed
رابح      ,      Rabeh
رابي     ,       Rabi
راتب     ,       Rateb
رجحي     ,       Raghi
راجي    ,        Ragi
راسخ      ,      Rasekh
راسم     ,       Rasem
راشد      ,      Rashed
راضي    ,        Radi
راغب      ,      Ragheb
راغد      ,      Raghed
رافد     ,       Rafed
رافع     ,       Rafee
رافق     ,       Rafek
رافل     ,       Rafel
رامز     ,       Ramez
رامي    ,        Rami
رباح     ,       Rabah
ربحي     ,       Rabhi
ربيع     ,       Rabee
رجاء     ,       Ragaa
رجب      ,       Ragab
رجوان     ,      Ragwan
رجيح     ,       Ragig
رحال     ,       Rahal
رزق     ,        Rezk
رزين     ,       Razin
رسمي     ,       Rasmi
رسيم     ,       Rasim
رشاد      ,      Rashad
رشدي      ,      Rushdy
رشوان      ,     Rashwan
رشيد      ,      Rashid
رشيق      ,      Rashik
سفوان     ,      Safwan
صفون      ,      Safwat
رضوان     ,      Radwan
رضي     ,        Reda
رطيب     ,       Ratib
رعد     ,        Raad
رغال      ,      Raghal
رغيب      ,      Raghib
رغيد      ,      Raghid
رفاعة    ,       Refaa
رفعة    ,        Refa
رفيع     ,       Rafie
رفيق     ,       Rafik
رماح     ,       Ramah
رمزي     ,       Ramzi
رمزية     ,      Ramzia
رمضان      ,     Ramadan
رويشد      ,     Rowishd
رياض     ,       Reyad
ريان     ,       Rayan
ريبال    ,       Rabil
زاخر      ,      Zakher
زاكي    ,        Zaki
زاهد     ,       Zahed
زاهر     ,       Zaher
زاهي    ,        Zahi
زايد     ,       Zayed
زبرقان     ,     Zabrkan
زبير       ,     Zoubeir
زغلول       ,    Zaghloul
زفر     ,        Zafr
زكريا       ,    Zakareya
زهار     ,       Zahar
زهوان     ,      Zahwan
زهيد     ,       Zamid
زهير      ,      Zoheir
زياد    ,        Zyad
زياد , Zayad
زيان     ,       Zayan
زيد      ,       Zayed
زيدان   ,        Zidan
زيدون     ,      Zaydoon
سائد   ,         Saed
سائر   ,         Saer
ساجد    ,        Saged
ساري   ,         Sari
ساطع    ,        Satea
ساعدة   ,        Saada
سالم    ,        Salem
سامح    ,        Sameh
سامر    ,        Samer
سامي   ,         Sami
ساهد    ,        Sahed
ساهر    ,        Saher
سبع    ,         Sabe
سراج    ,        Serag
سرور    ,        Srour
سرى    ,         Sari
سري    ,         Sari
سعد    ,         Saad
سعدون    ,       Saadon
سعدي    ,        Saadi
سعود   ,         Soud
سعيد    ,        Saeed
سلام      ,       Salaam
سلامة     ,       Salama
سلطان     ,      Soultan
سلمان    ,       Salman
سلمة     ,       Salama
سليم    ,        Selim
سمعان    ,       Samaan
سمعون    ,       Samoun
سميح    ,        Samih
سمير    ,        Samir   
سنان    ,        Sanan
سهيل     ,       Sohayl
سيف    ,         Seif
شادي    ,        Shadi
شارف    ,        Shari
شريف     ,       Sherif
شاري    ,        Shari
شافع     ,       Shafea
شافعي    ,       Shafei
شافعى    ,       Shafei
شاكر    ,        Shaker
شاهد    ,        Shahid
شاهر    ,        Shaher
شبل    ,         Shebl
شداد    ,        Shadad
شديد    ,        Shedid
شريف    ,        Sherif
شعبان    ,       Shaaban
شعيب     ,       Shoayeb
شفيق    ,        Shafik
شكري    ,        Shokry
شمس الدين      , Shams El Deen
شمس    ,         Shams
شهاب    ,        Shahab
شهم    ,         Shahm
شهوان    ,       Shahwan
شهاوي    ,       Shahway
شهاوى    ,       Shahway
الشهاوي     ,    El Shahway
شوقي   ,         Shawky
شوكت    ,        Shawkat
شيبان  ,         Shiban
شيبة  ,          Shiba
شيحان   ,        Shabhan
شيخون    ,       Shaykhon
صابر  ,          Saber
صافي ,           Safi
صباح  ,          Sabah
صبيح  ,          Sabih
صدام  ,          Sadam
صفاء  ,          Safaa 
صفوان  ,         Safwan
صفوت   ,         Safwat
صلاح الدين    ,   Salah Eldein
صهيب    ,        Sohayeb
ضاهر  ,          Daher
ضياء  ,          Deyaa
ضيف  ,           Deif
طارف  ,          Tarek
طاهر  ,          Taher
طلال   ,          Talal
طلحة  ,          Talha
اطنوس    ,       Antonios
طيب   ,          Tayeb
ظافر  ,          Zafer
ظاهر  ,          Zaher
ظفار  ,          Zafar
ظفير  ,          Zafir
عبيد  ,          Ebeid
عادل ,           Adel
عرفان ,          Erfan
عزام ,           Azam
عاطف ,           Atef
عاكف ,           Akef
عامر ,           Amer
عبادة ,          Obada
عباده ,          Obada
عباس  ,          Abbas
عبد الباقي ,     Abd Elbaai
عبد البصير   ,   Abd Elbaseer
عبد الجبار  ,    Abd Elgabar
عبد الجليل  ,    Abd Elgleel
عبد الجميل   ,   Abd Elgameel
عبد الحفيظ   ,   Abd Elhafeez
عبد الحق  ,      Abd Elhaa
عبد الحكيم   ,   Abd ElHakeem
عبد الحليم   ,   Abd Elhaleem
عبد الحميد  ,    Abd Elhamid
عبد الحي  ,      Abd Elhai
عبد الخالق   ,   Abd Elkhalea
عبد الرؤوف  ,    Abd Elraoof
عبد ربه  ,       Abd Rabo
عبد الرحيم   ,   Abd Elreheem
عبد الرزاق  ,    Abd Elrazak
عبد الرقيب   ,   Abd Elrakeeb
عبد السلام    ,   Abd Elsalaam
عبد الشكور    ,  Abd Elshakoor
عبد الصمد   ,    Abd ELsamad
عبد الظاهر  ,    Abd ELzaher
عبد العزيز ,     Abd ELaziz
عبد العظيم  ,    Abd Elazeem
عبد العليم  ,    Abd Elaleem
عبد الغفور   ,   Abd Elghafoor
عبد الغني  ,     Abd Elghani    
عبد الفتاح  ,    Abd Elfataah
عبد القادر ,     Abd Elkader
عبد القيوم  ,    Abd Elkayoum
عبد الكريم  ,    Abd Elkareem
عبد اللطيف ,     Abd Ellatif
عبد الله ,       Abd Allah
عبد المجيد  ,    Abd Elmajeed
عبد المسيح  ,    Abd Elmaseeh
عبد المطلب   ,   Abd Elmoteleb
عبد الملك  ,     Abd Elmalek 
عبد المنعم ,     Abd Elmonem
عبد النور ,      Abd Elnour
عبد الهادي,      Abd Elhadi
عبد الواحد ,     Abd Elwahed
عبد الودود  ,    Abd Elwadoud
عبد الوهاب ,     Abd Elwahab
عبد عال  ,       Abd Elaal 
عبدو,            Abdo
عبده,            Abdo
عبيدة ,          Obayda
عتاب ,           Etab
عجاج ,          Agag
عجرم ,          Agram
عجمان ,         Agman
عدل ,           Adl
عدلي ,          Adly
عدن ,           Adnan
عدنان ,         Adnan
عدي ,           Oday
عديل ,          Adeel
عراب ,          Araab
عرفات ,         Arafaat
عرفة ,          Arafa
عريف ,          Areef
عز ,            Ez
عزب ,           Azab
عزة ,           Azza
عزت ,           Ezaat
عزيز ,          Aziz
عصام ,          Essam
عصمت ,          Esmat
عطا ,           Attah
عطفان ,         Aftan
عفان ,          Afan
عفيف ,          Afef
عفيفي ,          Afefi
عفيفى ,          Afefi
عقال ,          Akal
عقبة ,          Okba
عقل ,           Akl
عقلة ,          Okla
عقيل ,          Okeel
عكاشة ,         Okasha
عكرمة ,         Ekrema
علاء ,           Alaa
علاء الدين    ,  Alaa Eldin
علوان  ,         Elwan
علي         ,   Ali
عليان ,         Alyan
عماد ,          Emad
عمار ,          Ammar
عمارة ,         Emara
عمر ,           Omar
عمران ,         Omran
عمرو ,          Amr
عملس ,          Amlas
عميد ,          Ameed
عنبر ,          Anbar
عنتر ,          Antar
عنترة ,         Antara
عوض ,           Awad
عوف ,           Euf
عون ,           Awn
عوني ,          Awni
عويس ,          Eweis
عياش ,          Ayash
عيد ,           Eid
عيسى,          Eisa
غازي ,          Ghazi
غاضر ,          Ghader
غالب ,          Ghaleb
غالي ,          Ghali
ثابت   ,       Thabet
غامد ,          Ghamed
غانم ,          Ghanem
غباش ,          Ghobash
غباشي ,          Ghobashi
غباشى ,          Ghobashi
غريب ,          Gharib
غريض ,          Ghareed
غزوان ,         Ghazwan
غزيل ,          Ghazeel
غسان ,          Ghareed
غصاب ,          Ghasab
غضران ,         Ghadran
غضنفر ,         Ghadanfar
غطاس        ,   Ghatas
الغطاس        ,   Elghatas
الغطريفي      ,   Elghatrify
غلام ,           Gholam
غني ,           Ghani
غنيان ,         Ghanian
غنيم ,          Ghoneim
غوار ,          Ghwar
غوث ,           Ghos
غياث ,          Ghayath
غيث ,           Gheith
غيد ,           Gheid
غيدان ,         Gheidan
غيسان ,         Ghisan
غيلان       ,    Ghilan
فؤاد        ,   Fouad 
فائز        ,   Faez
فائق        ,   Faaek
فاتح        ,   Fateh
فاتك        ,   Fatek
فاتن        ,   Faten
فاخر        ,   Fakher
فادي        ,   Fadi
فارس        ,   Fares
فارض        ,   Fared
فارع        ,   Farei
فاروق       ,   Farouk
فاضل        ,   Fadel
فالح        ,   Faleh
فتح         ,   Fath
فتحي        ,   Fathy
فتوح        ,   Fatouh
فتيح        ,   Fatih
فحل         ,   Fahl
فخر         ,   Fakhr
فخري        ,   Fakhri
فراج        ,   Farag
فرار        ,   Farar
فراس        ,   Feras
فرج         ,   Farag
فرحات       ,   Farahat
فرحان       ,   Farhan
فرقان       ,   Forkan
فرناس       ,   Fernas
فروان       ,   Farwan
فروح        ,   Farouh
فريج        ,   Farig
فريد        ,   Farid
فريز        ,   Fariz
فريع        ,   Farie
فصيح        ,   Faseeh
فضل         ,   Fadl
فضلون       ,   Fadlon
فضيل        ,   Fadil
فطيم        ,   Fatim
فطين        ,   Fatin
فكرة        ,   Fekra
فكرت        ,   Fekrat
فكري        ,   Fekry
فلوح        ,   Falouh
فليح        ,   Falih
فندي        ,   Fandi
افندي        ,   Afandi
فهار ,          Fahar
فهد     ,       Fahd
فهدي        ,   Fahdi
فهر         ,   Fahr
فهمي        ,   Fahmi
فهيد        ,   Fahid
فهيم        ,   Fahim
فواز        ,   Fawaz
فوزي        ,   Fawzi
فياح        ,   Fayah
فياد        ,   Feyad
فياض        ,   Feyad
فيصل        ,   Fesal
فيض         ,   Feid
فيضي        ,   Feidy
قائد        ,   Kaed
قابس        ,   Kabes
قابوس       ,   Kabous
قادر        ,   Kader
قاسط        ,   Kaset
قاسم        ,   Kasem        
قبيصة       ,   Kobesa
عبد الملاك   ,  Abd Elmalak
قتادة       ,   Kotada
قتيبة       ,   Kotayba
قثم         ,   Kethm
قداح        ,   Kedah
قدامة       ,   Kodama
قردحي       ,   Kordahi
قدري        ,   Kadri
قذلان       ,    Kazlan
قس          ,   Kas
قسام        ,   Kasam
قسي         ,   Kasi
قسيم        ,   Kasim
قصي         ,   Kasi
قطام        ,   Katam
قطامي       ,   Katami
قطب         ,   Kotb
قعقاع       ,   Kaakan
قنوت        ,   Kanout
قيس         ,   Keis
قيم         ,   Keim
كائد        ,   Kaaed
كارم        ,   Karem
كاسب        ,   Kaseb
كاسر        ,   Kaser
كاظم        ,   Kazem
كافل        ,   Kafel
كافي        ,   Kafel
كامل        ,   Kamel
كثير        ,   Kasir
كرام        ,   Karam
كرم         ,   Karam
كريم        ,   Karim
كسار        ,   Kasar
كعب         ,   Kaab
كلاب            ,Kalab
كلال    ,       Klaal
كلدة    ,       Kalda
كليب        ,   Kalib
كليم        ,   Kalim
كمال        ,   Kamal
كميت        ,   Kamit
كناز        ,   Kanaz
كنان        ,   Kanaz
كنعان       ,   Kanaan
كهلان           ,Kanaan
كواش        ,   Kawash
لؤي         ,   Loai
لادن        ,   Laden
لباب        ,   Labaab
لبيب        ,   Labeeb
لبيد        ,   Labeed
لطفي        ,   Lotfi
لطيف        ,   Latif
لقمان       ,   Lokman
لماح        ,   Lamah
لمعان       ,   Lamaan
لمعي        ,   Lamei
لميع        ,   Lamiei
لهب         ,   Lahab
لهبان       ,   Lahban
لهيف        ,   Lahif
لوزي        ,   Louzi
ليث         ,   Laith
مأمون       ,   Mamon
مؤيد        ,   Moayed
مائد        ,   Maed
ماتع        ,   Matei
ماجد        ,   Maged
ساجد        ,   Saged
مارسيل      ,   Marsel
مازن        ,   Mazeen
ماضي        ,   Madi
مالك        ,   Maleek
ماهر        ,   Maher
مبارك       ,   Mobarak
مبخوت       ,   Mabkhout
مبرور       ,   Mabrour
مبروك       ,   Mabrouk
مبشر        ,   Mobsher
مبين        ,   Mobayen
مترف        ,   Motref
متعب        ,   Motieb
متمم        ,   Motmem
مثاب        ,   Mothab
مثوى        ,   Mothawi
مجاهد       ,   Moghahed
مجاور       ,   Mogawer
مجتبى       ,   Mogtabi
مجحم        ,   Moghem
مجدي        ,   Magdi
مجواد       ,   Megwad
مجيب        ,   Mogeeb
مجيد        ,   Mogeeb
مجير        ,   Mogeer
محبوب       ,   Mahboub
محجن        ,   Mohgen
محرز        ,   Mehrez
محرم        ,   Moharam
محسن        ,   Mohsein
محسون       ,   Mahsoun
محمد        ,   Mohamed
محمود       ,   Mahmoud 
محيا        ,   Mahia
محي        ,   Mohi
محى        ,   Mohi
مخلد        ,   Mokhled
مخلص        ,   Mokhles
مخلف        ,   Mokhlef
مدثر        ,   Modather
مدحة        ,   Medha
مدحت        ,   Medhat
مدرك        ,   Modrek
مدلج        ,   Madlag
مديد        ,   Madid
مراد        ,   Morad
مراش        ,   Morash
مرتجى       ,   Mortagi
مرتضى       ,   Mortada
مرثد        ,   Marthad
مرحب        ,   Moraheb
مرداس       ,   Merdas
مرزوق       ,   Marzouk
مرسي        ,   Morsi
مرشد        ,   Morshid
مرشدي       ,   Morshedi
مرهج        ,   Morheg
مرهف        ,   Morhaf
مروان       ,   Marwan
مزاحم       ,   Mozahem
مزدلف       ,   Mozdalef
مزن         ,   Mazan
مازن         ,   Mazan
مزهر        ,   Mazhar
مساعد       ,   Mosaed
مسافر       ,   Mosafer
مستعين      ,   Mostaeen
مستور       ,   Mastour
مسعود       ,   Masoud
مسفار       ,   Mesfar
مسفر        ,   Mesfar
مسلم        ,   Muslim
مسلمة       ,   Musalama
مسيب        ,   Musib  
مشاري       ,   Mashary
مشتاق       ,   Mushtak
مشرف        ,   Mushref
مشعل        ,   Mashaal
مشكور       ,   Mashkour
مصباح       ,   Musbah
مصدق        ,   Musdak
مصطفى       ,   Mustafa
مصعب        ,   Musaab
مصلح        ,   Musleh
مضر         ,   Muder
مطاع        ,   Mutaa
مطاوع       ,   Mutawei
مطر         ,   Matar
مطلب        ,   Mutlab
مطلق        ,   Mutlak
مطير        ,   Mateer
مطيع        ,   Mutee
مظفر        ,   Muzfer
مظهر        ,   Mazhar
معاد        ,   Muaad
معاذ        ,   Muaaz
معاوية      ,   Muaweya
معتصم       ,   Moatasem
معتضد       ,   Moetaded
معتوق       ,   Matouk
معد         ,   Moed
معدي كرب    ,   Moedy Karb    
معروف       ,   Marouf
معصوم       ,   Masoum
معطي        ,   Moety
معلوف       ,   Maluf
معمر        ,   Moamer
معن         ,   Moen
عبد معين    ,   Abd Elmoeen
مغوار       ,   Meghwar
مغيث        ,   Moghees
مغيرة       ,   Moghirah
مفتاح       ,   Moftaah
مقبل        ,   Mokbel
مقتدر       ,   Moktader
مقتدي       ,   Moktadi
مقرن        ,   Mokren 
مكتوم       ,   Maktoum
مكين        ,   Mokin
ملهب        ,   Molheb
ملهم        ,   Molhem
ممدوح       ,   Mamdouh
مملوك       ,   Mamlouk
مناح        ,   Mannah
مناع        ,   Mannaa
مناف        ,   Mannaf
منان        ,   Manan
منتصر       ,   Montasir
منجد        ,   Monged
منذر        ,   Monzer
منصف        ,   Monsef
منصور       ,   Mansour
منظور       ,   Manzour
منقذ        ,   Monkez
منهل        ,   Manhal
منيب        ,   Monuib
منير        ,   Monuir
منيع        ,   Manee
مهاب        ,   Mohab
مهابة       ,   Mohabah
مهاجر       ,   Mohager
مهدي        ,   Mahdi
مهند        ,   Mohaned
مهيب        ,   Moheeb
مهير        ,   Moheer
مهيوب       ,   Mahyoub
مودود       ,   Mawdoud
موسى        ,   Mousa
موفق        ,   Mowafak
مولود       ,   Mawloud
موهوب       ,   Mawhoub
مياد        ,   Mayaad
ميار        ,   Mayaar
مياس        ,   Mayaas
ميثم        ,   Maytham
ميلاد           ,Melad
ميمون       ,   Maymoun
نائل        ,   Naeel
نابغ        ,   Nabegh
ناجح        ,   Nageeh
ناجد        ,   Naged
ناجي        ,   Nagi
نادر        ,   Nader
ناشئ        ,   Nashek
ناشد        ,   Nashed
ناشر        ,   Nasher
ناصح        ,   Naseh
ناصر        ,   Nasser
ناصر الدين  ,   Nasser Eldin
ناصف        ,   Nassef
ناصيف       ,   Naseef
ناظم        ,   Nazem
ناعم        ,   Naem
نافح        ,   Nafeh
نافع        ,   Nafea
نامي        ,   Nami
ناهض        ,   Nahed
ناهل        ,   Nahel
ناهي        ,   Nahi
نبال        ,   Nebal
نبيل        ,   Nabil
نبيه        ,   Nabeeh
نجا         ,   Naga
نجاد        ,   Negad
نجد         ,   Nagad
نجدة        ,   Nagda
نجدت        ,   Nagdat
نجم         ,   Negm
نجم الدين   ,   Negm eldin
نجوان       ,   Nagwan
نجيب        ,   Nagib
نجيح        ,   Nageeh
نجيد        ,   Nageed
ندرة        ,   Nadrah
نديم        ,   Nadim
نذير        ,   Nazir
نزار        ,   Nazar
نزيه        ,   Nazyah
نسيب        ,   Nasib
نسيم        ,   Nasim
نشأت        ,   Nashaat
نشاة        ,   Nashah
نشمي        ,   Nashmi
نصاح        ,   Nassah
نصار        ,   Nassar
نصر         ,    Nasr
نصرة        ,   Nasrah
نصرت        ,   Nasrat
نصوح        ,   Nasouh
نصير        ,   Nasir
نصيف        ,   Nasif
نضال        ,   Nedal
نضر         ,   Nadr
نضير        ,   Nadir
نظمي        ,   Nazmi
نظير        ,   Nazir
نظيف        ,   Nazif
نعمان       ,   Nouman
نعمة الله   ,   Neamat Allah
نعمة        ,   Neamah
نعمت        ,   Neamat
نعيم        ,   Naeem
نفيس        ,   Nafis
نمر         ,   Nemr
نمير        ,   Namir
نميق        ,   Namik
نهشل        ,   Nahshal
